Город,Население,Площадь,Есть аэропорт
Адыгейск,12689,31.500000,false
Майкоп,144055,308.000000,false
Горно-Алтайск,62861,96.000000,false
Алейск,28528,0.000000,false
Барнаул,635585,322.000000,false
Белокуриха,15072,92.000000,false
Бийск,203826,291.670000,false
Горняк,13040,28.100000,false
Заринск,47035,79.160000,false
Змеиногорск,10569,56.400000,false
Камень-на-Оби,41787,48.790000,false
Новоалтайск,73134,72.200000,false
Рубцовск,146386,84.000000,false
Славгород,30370,53.300000,false
Яровое,18085,44.380000,false
Белогорск,68220,117.600000,false
Благовещенск,214397,321.000000,false
Завитинск,11481,11.500000,false
Зея,25042,45.000000,false
Райчихинск,20499,388.000000,false
Свободный,58594,40.000000,false
Сковородино,9561,22.000000,false
Тында,35574,124.000000,false
Циолковский,6208,68.000000,false
Шимановск,19815,50.000000,false
Архангельск,348716,294.420000,false
Вельск,23885,15.000000,false
Каргополь,10148,13.000000,false
Коряжма,39629,50.000000,false
Котлас,60562,68.000000,false
Мезень,3599,6.000000,false
Мирный,30259,15.000000,false
Новодвинск,40612,41.000000,false
Няндома,22354,21.000000,false
Онега,21359,164.000000,false
Северодвинск,192265,1200.000000,false
Сольвычегодск,2460,8.000000,false
Шенкурск,5702,4.000000,false
Астрахань,520662,209.000000,false
Ахтубинск,41898,17.000000,false
Знаменск,29357,23.000000,false
Камызяк,16291,24.080000,false
Нариманов,11386,27.200000,false
Харабали,18209,25.000000,false
Агидель,16365,53.000000,false
Баймак,17710,215.000000,false
Белебей,60183,34.260000,false
Белорецк,68804,41.000000,false
Бирск,41637,97.300000,false
Благовещенск,34246,321.000000,false
Давлеканово,24040,41.000000,false
Дюртюли,31272,38.000000,false
Ишимбай,66259,103.470000,false
Кумертау,62854,170.000000,false
Межгорье,17353,220.000000,false
Мелеуз,61408,32.000000,false
Нефтекамск,121757,147.000000,false
Октябрьский,109379,105.000000,false
Салават,156085,106.230000,false
Сибай,62732,154.000000,false
Стерлитамак,273432,108.520000,false
Туймазы,66849,43.000000,false
Уфа,1062300,707.930000,false
Учалы,37771,46.000000,false
Янаул,26988,26.000000,false
Алексеевка,39026,34.000000,false
Белгород,356426,153.100000,false
Бирюч,7842,12.000000,false
Валуйки,35322,34.000000,false
Грайворон,6234,10.000000,false
Губкин,88562,42.000000,false
Короча,5877,5.000000,false
Новый Оскол,19530,16.000000,false
Старый Оскол,221163,200.000000,false
Строитель,23933,33.000000,false
Шебекино,44277,40.000000,false
Брянск,415640,186.730000,false
Дятьково,29438,190.000000,false
Жуковка,18269,13.000000,false
Злынка,5507,0.000000,false
Карачев,19715,15.000000,false
Клинцы,62510,64.000000,false
Мглин,7916,0.000000,false
Новозыбков,40552,31.500000,false
Почеп,17933,20.000000,false
Севск,7282,14.000000,false
Сельцо,17933,33.100000,false
Стародуб,19010,22.000000,false
Сураж,11640,10.000000,false
Трубчевск,15014,14.000000,false
Унеча,26196,15.000000,false
Фокино,13874,16.000000,false
Бабушкин,4542,9.000000,false
Гусиноозерск,23280,13.000000,false
Закаменск,11249,59.220000,false
Кяхта,20013,28.000000,false
Северобайкальск,23673,103.000000,false
Улан-Удэ,431922,347.600000,false
Александров,61544,26.200000,false
Владимир,348256,137.000000,false
Вязники,41252,37.000000,false
Гороховец,14015,13.000000,false
Гусь-Хрустальный,60773,43.000000,false
Камешково,13113,8.000000,false
Карабаново,14868,11.110000,false
Киржач,30044,21.000000,false
Ковров,145492,57.000000,false
Кольчугино,45804,25.000000,false
Костерево,9136,6.000000,false
Курлово,6791,6.000000,false
Лакинск,15707,9.670000,false
Меленки,15208,10.900000,false
Муром,116078,44.000000,false
Петушки,15167,12.000000,false
Покров,17762,19.000000,false
Радужный,18212,113.200000,false
Собинка,19482,19.680000,false
Струнино,14372,11.710000,false
Судогда,11848,12.000000,false
Суздаль,10535,15.000000,false
Юрьев-Польский,19588,10.000000,false
Волгоград,1021244,859.000000,false
Волжский,314436,150.000000,false
Дубовка,14345,20.000000,false
Жирновск,16890,27.000000,false
Калач-на-Дону,26892,18.000000,false
Камышин,119924,81.000000,false
Котельниково,20441,40.000000,false
Котово,24104,18.000000,false
Краснослободск,16007,10.500000,false
Ленинск,15527,113.000000,false
Михайловка,59153,61.000000,false
Николаевск,15081,37.240000,false
Новоаннинский,17911,63.300000,false
Палласовка,15984,35.000000,false
Петров Вал,13264,29.395000,false
Серафимович,9368,30.600000,false
Суровикино,20527,33.433000,false
Урюпинск,41594,39.320000,false
Фролово,39489,60.000000,false
Бабаево,12074,14.500000,false
Белозерск,9614,16.080000,false
Великий Устюг,31664,17.000000,false
Вологда,301642,116.000000,false
Вытегра,10490,16.000000,false
Грязовец,15528,31.000000,false
Кадников,4797,17.385000,false
Кириллов,7735,27.000000,false
Красавино,7003,61.000000,false
Никольск,8515,12.700000,false
Сокол,38454,30.430000,false
Тотьма,9784,8.000000,false
Устюжна,9478,7.000000,false
Харовск,10078,10.000000,false
Череповец,312311,120.900000,false
Бобров,19738,22.000000,false
Богучар,11811,13.000000,false
Борисоглебск,65585,49.000000,false
Бутурлиновка,27208,37.720000,false
Воронеж,889680,596.510000,false
Калач,20046,20.000000,false
Лиски,55864,65.000000,false
Нововоронеж,32635,46.000000,false
Новохоперск,6849,14.000000,false
Острогожск,33842,22.000000,false
Павловск,25126,36.800000,false
Поворино,17692,18.000000,false
Россошь,62865,59.000000,false
Семилуки,26025,14.000000,false
Эртиль,11387,20.000000,false
Буйнакск,65735,20.950000,false
Дагестанские Огни,30671,9.270000,false
Дербент,119961,69.630000,false
Избербаш,56301,23.000000,false
Каспийск,103914,33.000000,false
Кизилюрт,36187,50.000000,false
Кизляр,49169,30.000000,false
Махачкала,577990,468.130000,false
Хасавюрт,133929,40.000000,false
Южно-Сухокумск,10048,82.000000,false
Биробиджан,75419,169.380000,false
Облучье,9379,28.000000,false
Балей,12536,49.000000,false
Борзя,31376,184.000000,false
Краснокаменск,55668,73.000000,false
Могоча,13228,20.000000,false
Нерчинск,14976,100.000000,false
