ИД,Город,Население,Площадь,Есть аэропорт
2,Адыгейск,12689,31.500000,false
3,Майкоп,144055,308.000000,false
4,Горно-Алтайск,62861,96.000000,true
5,Алейск,28528,0.000000,false
6,Барнаул,635585,322.000000,true
7,Белокуриха,15072,92.000000,false
8,Бийск,203826,291.670000,true
9,Горняк,13040,28.100000,false
10,Заринск,47035,79.160000,false
11,Змеиногорск,10569,56.400000,false
12,Камень-на-Оби,41787,48.790000,false
13,Новоалтайск,73134,72.200000,false
14,Рубцовск,146386,84.000000,false
15,Славгород,30370,53.300000,false
16,Яровое,18085,44.380000,false
17,Белогорск,68220,117.600000,false
18,Благовещенск,214397,321.000000,true
19,Завитинск,11481,11.500000,false
20,Зея,25042,45.000000,false
21,Райчихинск,20499,388.000000,false
22,Свободный,58594,40.000000,false
23,Сковородино,9561,22.000000,false
24,Тында,35574,124.000000,true
25,Циолковский,6208,68.000000,false
26,Шимановск,19815,50.000000,false
27,Архангельск,348716,294.420000,true
28,Вельск,23885,15.000000,false
29,Каргополь,10148,13.000000,false
30,Коряжма,39629,50.000000,false
31,Котлас,60562,68.000000,true
32,Мезень,3599,6.000000,true
33,Мирный,30259,15.000000,true
34,Новодвинск,40612,41.000000,false
35,Няндома,22354,21.000000,false
36,Онега,21359,164.000000,true
37,Северодвинск,192265,1200.000000,false
38,Сольвычегодск,2460,8.000000,false
39,Шенкурск,5702,4.000000,false
40,Астрахань,520662,209.000000,true
41,Ахтубинск,41898,17.000000,false
42,Знаменск,29357,23.000000,false
43,Камызяк,16291,24.080000,false
44,Нариманов,11386,27.200000,false
45,Харабали,18209,25.000000,false
46,Агидель,16365,53.000000,false
47,Баймак,17710,215.000000,false
48,Белебей,60183,34.260000,false
49,Белорецк,68804,41.000000,true
50,Бирск,41637,97.300000,false
51,Благовещенск,34246,321.000000,true
52,Давлеканово,24040,41.000000,false
53,Дюртюли,31272,38.000000,false
54,Ишимбай,66259,103.470000,false
55,Кумертау,62854,170.000000,false
56,Межгорье,17353,220.000000,false
57,Мелеуз,61408,32.000000,false
58,Нефтекамск,121757,147.000000,false
59,Октябрьский,109379,105.000000,true
60,Салават,156085,106.230000,false
61,Сибай,62732,154.000000,true
62,Стерлитамак,273432,108.520000,true
63,Туймазы,66849,43.000000,false
64,Уфа,1062300,707.930000,true
65,Учалы,37771,46.000000,false
66,Янаул,26988,26.000000,false
67,Алексеевка,39026,34.000000,false
68,Белгород,356426,153.100000,true
69,Бирюч,7842,12.000000,false
70,Валуйки,35322,34.000000,false
71,Грайворон,6234,10.000000,false
72,Губкин,88562,42.000000,false
73,Короча,5877,5.000000,false
74,Новый Оскол,19530,16.000000,false
75,Старый Оскол,221163,200.000000,true
76,Строитель,23933,33.000000,false
77,Шебекино,44277,40.000000,false
78,Брянск,415640,186.730000,true
79,Дятьково,29438,190.000000,false
80,Жуковка,18269,13.000000,false
81,Злынка,5507,0.000000,false
82,Карачев,19715,15.000000,false
83,Клинцы,62510,64.000000,false
84,Мглин,7916,0.000000,false
85,Новозыбков,40552,31.500000,false
86,Почеп,17933,20.000000,false
87,Севск,7282,14.000000,false
88,Сельцо,17933,33.100000,false
89,Стародуб,19010,22.000000,false
90,Сураж,11640,10.000000,false
91,Трубчевск,15014,14.000000,false
92,Унеча,26196,15.000000,false
93,Фокино,13874,16.000000,false
94,Бабушкин,4542,9.000000,false
95,Гусиноозерск,23280,13.000000,false
96,Закаменск,11249,59.220000,false
97,Кяхта,20013,28.000000,false
98,Северобайкальск,23673,103.000000,false
99,Улан-Удэ,431922,347.600000,true
100,Александров,61544,26.200000,false
101,Владимир,348256,137.000000,true
102,Вязники,41252,37.000000,false
103,Гороховец,14015,13.000000,false
104,Гусь-Хрустальный,60773,43.000000,false
105,Камешково,13113,8.000000,false
106,Карабаново,14868,11.110000,false
107,Киржач,30044,21.000000,false
108,Ковров,145492,57.000000,false
109,Кольчугино,45804,25.000000,false
110,Костерево,9136,6.000000,false
111,Курлово,6791,6.000000,false
112,Лакинск,15707,9.670000,false
113,Меленки,15208,10.900000,false
114,Муром,116078,44.000000,false
115,Петушки,15167,12.000000,false
116,Покров,17762,19.000000,false
117,Радужный,18212,113.200000,true
118,Собинка,19482,19.680000,false
119,Струнино,14372,11.710000,false
120,Судогда,11848,12.000000,false
121,Суздаль,10535,15.000000,false
122,Юрьев-Польский,19588,10.000000,false
123,Волгоград,1021244,859.000000,true
124,Волжский,314436,150.000000,false
125,Дубовка,14345,20.000000,false
126,Жирновск,16890,27.000000,false
127,Калач-на-Дону,26892,18.000000,false
128,Камышин,119924,81.000000,false
129,Котельниково,20441,40.000000,false
130,Котово,24104,18.000000,false
131,Краснослободск,16007,10.500000,false
132,Ленинск,15527,113.000000,false
133,Михайловка,59153,61.000000,false
134,Николаевск,15081,37.240000,false
135,Новоаннинский,17911,63.300000,false
136,Палласовка,15984,35.000000,false
137,Петров Вал,13264,29.395000,false
138,Серафимович,9368,30.600000,false
139,Суровикино,20527,33.433000,false
140,Урюпинск,41594,39.320000,false
141,Фролово,39489,60.000000,false
142,Бабаево,12074,14.500000,false
143,Белозерск,9614,16.080000,false
144,Великий Устюг,31664,17.000000,true
145,Вологда,301642,116.000000,true
146,Вытегра,10490,16.000000,false
147,Грязовец,15528,31.000000,false
148,Кадников,4797,17.385000,false
149,Кириллов,7735,27.000000,false
150,Красавино,7003,61.000000,false
151,Никольск,8515,12.700000,false
152,Сокол,38454,30.430000,false
153,Тотьма,9784,8.000000,false
154,Устюжна,9478,7.000000,false
155,Харовск,10078,10.000000,false
156,Череповец,312311,120.900000,true
157,Бобров,19738,22.000000,false
158,Богучар,11811,13.000000,false
159,Борисоглебск,65585,49.000000,false
160,Бутурлиновка,27208,37.720000,false
161,Воронеж,889680,596.510000,true
162,Калач,20046,20.000000,false
163,Лиски,55864,65.000000,false
164,Нововоронеж,32635,46.000000,false
165,Новохоперск,6849,14.000000,false
166,Острогожск,33842,22.000000,false
167,Павловск,25126,36.800000,false
168,Поворино,17692,18.000000,false
169,Россошь,62865,59.000000,false
170,Семилуки,26025,14.000000,false
171,Эртиль,11387,20.000000,false
172,Буйнакск,65735,20.950000,false
173,Дагестанские Огни,30671,9.270000,false
174,Дербент,119961,69.630000,false
175,Избербаш,56301,23.000000,false
176,Каспийск,103914,33.000000,false
177,Кизилюрт,36187,50.000000,false
178,Кизляр,49169,30.000000,false
179,Махачкала,577990,468.130000,true
180,Хасавюрт,133929,40.000000,false
181,Южно-Сухокумск,10048,82.000000,false
182,Биробиджан,75419,169.380000,false
183,Облучье,9379,28.000000,false
184,Балей,12536,49.000000,false
185,Борзя,31376,184.000000,false
186,Краснокаменск,55668,73.000000,true
187,Могоча,13228,20.000000,false
188,Нерчинск,14976,100.000000,false
189,Петровск-Забайкальский,18555,19.000000,false
190,Сретенск,6850,36.000000,false
191,Хилок,11530,13.000000,false
192,Чита,323964,534.000000,true
193,Шилка,13947,105.000000,false
194,Вичуга,37609,31.000000,false
195,Гаврилов Посад,6434,9.000000,false
196,Заволжск,12045,8.000000,false
197,Иваново,409277,104.840000,true
198,Кинешма,88113,50.000000,false
199,Комсомольск,8693,325.000000,false
200,Кохма,29408,12.600000,false
201,Наволоки,10207,95.000000,false
202,Плес,2341,3.000000,false
203,Приволжск,16749,16.000000,false
204,Пучеж,8583,6.000000,false
205,Родники,26318,17.000000,false
206,Тейково,34993,26.800000,false
207,Фурманов,36149,15.600000,false
208,Шуя,58528,33.000000,false
209,Южа,14170,13.000000,false
210,Юрьевец,10205,8.000000,false
211,Карабулак,31081,83.600000,false
212,Магас,2505,12.630000,false
213,Малгобек,31076,17.000000,false
214,Назрань,93357,80.000000,false
215,Алзамай,6751,48.000000,false
216,Ангарск,233765,294.000000,false
217,Байкальск,13589,819.250000,false
218,Бирюсинск,8981,23.000000,false
219,Бодайбо,15331,11.000000,false
220,Братск,246348,428.000000,true
221,Вихоревка,22528,85.000000,false
222,Железногорск-Илимский,26134,102.000000,false
223,Зима,32522,52.900000,false
224,Иркутск,587225,277.000000,true
225,Киренск,12652,21.000000,false
226,Нижнеудинск,37056,75.000000,false
227,Саянск,40786,83.000000,false
228,Свирск,13649,38.620000,false
229,Слюдянка,18542,38.000000,false
230,Тайшет,35481,75.720000,false
231,Тулун,44603,134.000000,false
232,Усолье-Сибирское,83364,74.000000,false
233,Усть-Илимск,86591,229.000000,false
234,Усть-Кут,45061,56.000000,true
235,Черемхово,52650,25.000000,false
236,Шелехов,47960,31.000000,false
237,Баксан,36857,27.800000,false
238,Майский,26755,138.000000,false
239,Нальчик,240095,67.000000,true
240,Нарткала,31679,9.450000,false
241,Прохладный,59595,35.080000,false
242,Терек,19170,12.000000,false
243,Тырныауз,21000,61.800000,false
244,Чегем,17988,73.000000,false
245,Багратионовск,6399,10.700000,false
246,Балтийск,32670,49.000000,false
247,Гвардейск,13888,12.000000,false
248,Гурьевск,12433,90.000000,false
249,Гусев,28260,16.300000,false
250,Зеленоградск,13015,17.000000,false
251,Калининград,431491,224.700000,true
252,Краснознаменск,3522,6.090000,false
253,Ладушкин,3788,28.200000,false
254,Мамоново,7757,20.850000,false
255,Неман,11794,14.000000,false
256,Нестеров,4584,8.000000,false
257,Озерск,4740,12.000000,false
258,Пионерский,11017,8.300000,false
259,Полесск,7580,11.000000,false
260,Правдинск,4323,10.000000,false
261,Приморск,1956,696.625000,false
262,Светлогорск,10775,21.000000,false
263,Светлый,21380,26.000000,false
264,Славск,4614,11.000000,false
265,Советск,41709,44.400000,false
266,Черняховск,40464,58.000000,false
267,Городовиковск,9565,175.000000,false
268,Лагань,14323,91.380000,false
269,Элиста,103728,208.000000,true
270,Балабаново,26337,9.940000,false
271,Белоусово,8432,2.300000,false
272,Боровск,12283,10.440000,false
273,Ермолино,10409,7.240000,false
274,Жиздра,5585,17.900000,false
275,Жуков,12150,20.000000,false
276,Калуга,325185,168.800000,false
277,Киров,31888,169.730000,true
